Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C16, C2, C4, C6, C7, C8, C9",402,10,100n,C344190 
"C12, C13",402,2,15p,C326803 
"C14, C15, C17, C18",402,4,10u,C15525 
"C3, C5",402,2,1u,C14445 
D1,TestPoint_Pad_1.0x1.0mm,1,TestPoint,
"D2, D3, D4, D5",D_SOD-923,4,D_Schottky,C896425 
J1,PinSocket_2x08_P2.54mm_Vertical,1,Xbox_LPT_Socket, C30734 
J2,PinHeader_1x01_P2.54mm_Horizontal,1,D0, C30734 
J3,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,USB,C160404
J4,JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal,1,Front_Panel,C136657 
J5,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,UART,C160403
J6,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,MB I2C,C160403
J7,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,DISP,C160404 
J8,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,RGB,C160403 
Q1,SOT-723,1,RZM001P02T2L,C308762 
"R1, R2",402,2,27R,C137890 
"R10, R4, R5, R9",402,4,1K,C105637 
"R11, R6",402,2,10K,C60489
R3,402,1,100R,C106232
"R7, R8",402,2,2.4K,C137889
RN1,R_Array_Convex_4x0402,1,4X100R,C48442
ST1,Emerald LED 402,3,LED,C434446 
TP1,TestPoint_Pad_1.0x1.0mm,1,3.3V,
TP2,TestPoint_Pad_1.0x1.0mm,1,5V,
TP3,TestPoint_Pad_1.0x1.0mm,1,GND,
TP4,TestPoint_Pad_1.0x1.0mm,1,CSN2,
TP5,TestPoint_Pad_1.0x1.0mm,1,CSN1,
TP6,TestPoint_Pad_1.0x1.0mm,1,SWC,
TP7,TestPoint_Pad_1.0x1.0mm,1,SWD,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040 
U2,SOT-23-5,1,XC6220B331MR,C411019 
U3,USON-8L-2X3X0P6_MAC,1,W25Q16JVUXIQ ,C2843335 
U4,SC-70-6_L2.2-W1.3-P0.65-LS2.1-BR,1,TPS22919DCKR,C2149796
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C362368 
"ST2, ST3",Amber LED 0402,2,LTST-C281KFKT-5A ,C364554 
