Designator,Mid X,Mid Y,Rotation,Layer
C1,145.2,-85.52,90.0,top
C10,139.7925,-87.28,180.0,top
C11,139.85,-92.24,180.0,top
C12,141.93,-96.52,270.0,top
C13,146.2925,-98.4175,270.0,top
C14,136.730001,-99.760001,270.0,top
C15,136.73,-101.59,90.0,top
C16,142.54,-82.83,180.0,top
C17,139.85,-94.41,0.0,top
C18,141.95,-98.34,270.0,top
C2,147.35,-97.29,270.0,top
C3,147.0325,-85.5275,90.0,top
C4,146.12,-85.52,90.0,top
C5,147.9525,-85.5375,90.0,top
C6,148.8725,-85.5375,90.0,top
C7,150.2725,-86.3575,0.0,top
C8,150.27,-91.81,0.0,top
C9,150.2725,-87.2775,0.0,top
D2,137.870003,-100.742502,270.0,top
D3,137.870003,-98.425002,90.0,top
D4,132.100001,-98.415,90.0,top
D5,132.089999,-100.735,270.0,top
FID1,156.77,-77.49,0.0,top
FID2,132.89,-103.95,180.0,bottom
FID3,144.72,-76.56,180.0,bottom
J1,134.74,-86.739999,180.0,top
J2,139.575,-80.18,90.0,top
J3,151.24,-102.545,0.0,top
J4,142.92,-102.545,0.0,top
J5,151.58,-78.875,180.0,top
J6,144.775,-78.875,180.0,top
J7,155.79,-95.15,90.0,top
J8,155.775,-85.725,90.0,top
Q1,150.275,-90.45,0.0,top
R1,150.29,-89.08,180.0,top
R10,150.27,-85.42,0.0,top
R11,134.11,-98.05,0.0,top
R2,150.29,-88.17,180.0,top
R3,149.32,-96.57,0.0,top
R4,146.3025,-96.5775,270.0,top
R5,138.84,-82.84,180.0,top
R6,140.7,-82.84,180.0,top
R7,154.45,-90.32,270.0,top
R8,153.51,-90.32,270.0,top
R9,139.85,-91.31,180.0,top
RN1,139.779999,-89.05,270.0,top
ST1,149.32,-95.63,0.0,top
ST2,142.2675,-89.88,180.0,bottom
ST3,151.2825,-89.9,180.0,bottom
U1,145.2375,-90.925,90.0,top
U2,134.562499,-100.72,90.0,top
U3,141.4147,-84.647499,0.0,top
U4,139.69786836407673,-96.66862882302993,315.0,top
Y1,144.1325,-97.4375,270.0,top
